yyyymmdd,CS,FT,NE,SNE,SWF,SSWF,TYW,TC100,TC200,TC300,TC500,TC1000,NWPTY
20000101,0,0,0,0,0,0,0,0,0,0,0,0,0
20000102,0,0,1,0,0,0,0,0,0,0,0,0,0
20000103,0,0,0,0,0,0,0,0,0,0,0,0,0
20000104,0,0,0,0,0,0,0,0,0,0,0,0,0
20000105,0,0,0,0,0,0,0,0,0,0,0,0,0
20000106,0,1,1,1,0,0,0,0,0,0,0,0,0
20000107,0,0,1,1,0,0,0,0,0,0,0,0,0
20000108,0,0,0,0,0,0,0,0,0,0,0,0,0
20000109,0,0,1,0,0,0,0,0,0,0,0,0,0
20000110,0,0,1,1,0,0,0,0,0,0,0,0,0
20000111,0,0,0,0,0,0,0,0,0,0,0,0,0
20000112,0,0,0,0,0,0,0,0,0,0,0,0,0
20000113,0,0,1,1,0,0,0,0,0,0,0,0,0
20000114,0,0,1,1,0,0,0,0,0,0,0,0,0
20000115,0,0,1,0,0,0,0,0,0,0,0,0,0
20000116,0,1,0,0,0,0,0,0,0,0,0,0,0
20000117,0,0,0,0,0,0,0,0,0,0,0,0,0
20000118,0,0,0,0,0,0,0,0,0,0,0,0,0
20000119,0,0,0,0,0,0,0,0,0,0,0,0,0
20000120,0,0,1,1,0,0,0,0,0,0,0,0,0
20000121,0,0,0,0,0,0,0,0,0,0,0,0,0
20000122,0,0,0,0,0,0,0,0,0,0,0,0,0
20000123,0,0,0,0,0,0,0,0,0,0,0,0,0
20000124,0,1,1,1,0,0,0,0,0,0,0,0,0
20000125,0,1,0,0,0,0,0,0,0,0,0,0,0
20000126,1,0,0,0,0,0,0,0,0,0,0,0,0
20000127,1,0,0,0,0,0,0,0,0,0,0,0,0
20000128,0,0,1,1,0,0,0,0,0,0,0,0,0
20000129,0,0,1,1,0,0,0,0,0,0,0,0,0
20000130,0,0,1,1,0,0,0,0,0,0,0,0,0
20000131,0,0,1,1,0,0,0,0,0,0,0,0,0
20000201,0,0,1,1,0,0,0,0,0,0,0,0,0
20000202,0,0,1,1,0,0,0,0,0,0,0,0,0
20000203,0,0,1,1,0,0,0,0,0,0,0,0,0
20000204,0,0,1,1,0,0,0,0,0,0,0,0,0
20000205,0,1,0,0,0,0,0,0,0,0,0,0,0
20000206,0,1,1,1,0,0,0,0,0,0,0,0,0
20000207,0,0,0,0,0,0,0,0,0,0,0,0,0
20000208,0,0,1,1,0,0,0,0,0,0,0,0,0
20000209,0,0,1,1,0,0,0,0,0,0,0,0,0
20000210,0,0,0,0,0,0,0,0,0,0,0,0,0
20000211,0,1,1,0,0,0,0,0,0,0,0,0,0
20000212,0,0,1,0,0,0,0,0,0,0,0,0,0
20000213,0,0,0,0,0,0,0,0,0,0,0,0,0
20000214,0,1,0,0,0,0,0,0,0,0,0,0,0
20000215,0,0,1,1,0,0,0,0,0,0,0,0,0
20000216,0,0,1,1,0,0,0,0,0,0,0,0,0
20000217,0,0,0,0,0,0,0,0,0,0,0,0,0
20000218,0,0,0,0,0,0,0,0,0,0,0,0,0
20000219,0,0,0,0,0,0,0,0,0,0,0,0,0
20000220,0,1,1,1,0,0,0,0,0,0,0,0,0
20000221,0,1,1,1,0,0,0,0,0,0,0,0,0
20000222,0,1,1,1,0,0,0,0,0,0,0,0,0
20000223,0,1,1,1,0,0,0,0,0,0,0,0,0
20000224,0,1,1,1,0,0,0,0,0,0,0,0,0
20000225,0,1,0,0,0,0,0,0,0,0,0,0,0
20000226,0,0,1,1,0,0,0,0,0,0,0,0,0
20000227,0,0,1,1,0,0,0,0,0,0,0,0,0
20000228,0,0,1,1,0,0,0,0,0,0,0,0,0
20000229,0,0,1,1,0,0,0,0,0,0,0,0,0
20000301,0,0,1,1,0,0,0,0,0,0,0,0,0
20000302,0,0,1,1,0,0,0,0,0,0,0,0,0
20000303,0,0,0,0,0,0,0,0,0,0,0,0,0
20000304,0,0,0,0,0,0,0,0,0,0,0,0,0
20000305,0,1,0,0,0,0,0,0,0,0,0,0,0
20000306,0,0,1,1,0,0,0,0,0,0,0,0,0
20000307,0,1,1,1,0,0,0,0,0,0,0,0,0
20000308,0,1,1,1,0,0,0,0,0,0,0,0,0
20000309,0,0,1,1,0,0,0,0,0,0,0,0,0
20000310,0,1,0,0,0,0,0,0,0,0,0,0,0
20000311,0,1,0,0,0,0,0,0,0,0,0,0,0
20000312,0,1,1,1,0,0,0,0,0,0,0,0,0
20000313,0,1,0,0,0,0,0,0,0,0,0,0,0
20000314,0,1,0,0,0,0,0,0,0,0,0,0,0
20000315,0,0,0,0,0,0,0,0,0,0,0,0,0
20000316,0,1,1,1,0,0,0,0,0,0,0,0,0
20000317,0,0,0,0,0,0,0,0,0,0,0,0,0
20000318,0,0,0,0,0,0,0,0,0,0,0,0,0
20000319,0,1,1,1,0,0,0,0,0,0,0,0,0
20000320,0,0,0,0,0,0,0,0,0,0,0,0,0
20000321,0,0,0,0,0,0,0,0,0,0,0,0,0
20000322,0,0,0,0,0,0,0,0,0,0,0,0,0
20000323,0,1,0,0,0,0,0,0,0,0,0,0,0
20000324,0,0,1,1,0,0,0,0,0,0,0,0,0
20000325,0,0,0,0,0,0,0,0,0,0,0,0,0
20000326,0,0,0,0,0,0,0,0,0,0,0,0,0
20000327,0,0,0,0,0,0,0,0,0,0,0,0,0
20000328,0,0,0,0,0,0,0,0,0,0,0,0,0
20000329,0,0,0,0,0,0,0,0,0,0,0,0,0
20000330,0,0,0,0,0,0,0,0,0,0,0,0,0
20000331,0,0,0,0,0,0,0,0,0,0,0,0,0
20000401,0,1,0,0,0,0,0,0,0,0,0,0,0
20000402,0,1,0,0,0,0,0,0,0,0,0,0,0
20000403,0,1,1,0,0,0,0,0,0,0,0,0,0
20000404,0,1,0,0,0,0,0,0,0,0,0,0,0
20000405,0,1,0,0,0,0,0,0,0,0,0,0,0
20000406,0,1,1,0,0,0,0,0,0,0,0,0,0
20000407,0,1,1,1,0,0,0,0,0,0,0,0,0
20000408,0,1,0,0,0,0,0,0,0,0,0,0,0
20000409,0,1,0,0,0,0,0,0,0,0,0,0,0
20000410,0,1,1,1,0,0,0,0,0,0,0,0,0
20000411,0,0,0,0,0,0,0,0,0,0,0,0,0
20000412,0,0,0,0,0,0,0,0,0,0,0,0,0
20000413,0,0,1,0,0,0,0,0,0,0,0,0,0
20000414,0,0,0,0,0,0,0,0,0,0,0,0,0
20000415,0,1,0,0,0,0,0,0,0,0,0,0,0
20000416,0,0,1,0,0,0,0,0,0,0,0,0,0
20000417,0,0,0,0,0,0,0,0,0,0,0,0,0
20000418,0,0,0,0,0,0,0,0,0,0,0,0,0
20000419,0,0,0,0,0,0,0,0,0,0,0,0,0
20000420,0,0,0,0,0,0,0,0,0,0,0,0,0
20000421,0,1,0,0,0,0,0,0,0,0,0,0,0
20000422,0,0,0,0,0,0,0,0,0,0,0,0,0
20000423,0,1,1,1,0,0,0,0,0,0,0,0,0
20000424,0,1,0,0,0,0,0,0,0,0,0,0,0
20000425,0,1,0,0,0,0,0,0,0,0,0,0,0
20000426,0,1,1,0,0,0,0,0,0,0,0,0,0
20000427,0,1,0,0,0,0,0,0,0,0,0,0,0
20000428,0,0,0,0,0,0,0,0,0,0,0,0,0
20000429,0,1,0,0,0,0,0,0,0,0,0,0,0
20000430,0,1,0,0,0,0,0,0,0,0,0,0,0
20000501,0,1,0,0,1,1,0,0,0,0,0,0,0
20000502,0,1,0,0,1,0,0,0,0,0,0,0,0
20000503,0,1,1,0,1,0,0,0,0,0,0,0,1
20000504,0,1,0,0,0,0,0,0,0,0,0,0,1
20000505,0,0,0,0,1,0,0,0,0,0,0,0,1
20000506,0,0,0,0,0,0,0,0,0,0,0,0,1
20000507,0,0,1,0,0,0,0,0,0,0,0,0,1
20000508,0,0,0,0,0,0,0,0,0,0,0,0,1
20000509,0,0,0,0,1,0,0,0,0,0,0,0,1
20000510,0,1,0,0,1,0,0,0,0,0,0,0,1
20000511,0,0,0,0,0,0,0,0,0,0,0,0,1
20000512,0,0,0,0,0,0,0,0,0,0,0,0,1
20000513,0,0,0,0,0,0,0,0,0,0,0,0,1
20000514,0,0,0,0,0,0,0,0,0,0,0,0,1
20000515,0,0,0,0,0,0,0,0,0,0,0,0,1
20000516,0,0,1,0,0,0,0,0,0,0,0,0,1
20000517,0,0,1,1,0,0,0,0,0,0,0,1,1
20000518,0,0,1,0,1,0,0,0,0,0,1,1,1
20000519,0,1,0,0,1,0,0,0,0,0,1,1,1
20000520,0,1,0,0,1,0,0,0,0,0,0,1,1
20000521,0,0,0,0,0,0,0,0,0,1,1,1,1
