yyyymmdd,CS,FT,NE,SNE,SWF,SSWF,TYW,TC100,TC200,TC300,TC500,TC1000,NWPTY
20150101,0,0,1,1,0,0,0,0,0,0,0,0,1
20150102,0,0,1,0,0,0,0,0,0,0,0,0,0
20150103,0,0,0,0,0,0,0,0,0,0,0,0,0
20150104,0,0,0,0,0,0,0,0,0,0,0,0,0
20150105,0,0,0,0,0,0,0,0,0,0,0,0,0
20150106,0,1,1,1,0,0,0,0,0,0,0,0,0
20150107,0,0,0,0,0,0,0,0,0,0,0,0,0
20150108,0,0,1,0,0,0,0,0,0,0,0,0,0
20150109,0,0,1,0,0,0,0,0,0,0,0,0,0
20150110,0,0,1,1,0,0,0,0,0,0,0,0,0
20150111,0,0,0,0,0,0,0,0,0,0,0,0,0
20150112,0,0,0,0,0,0,0,0,0,0,0,0,1
20150113,0,0,0,0,0,0,0,0,0,0,0,0,1
20150114,0,1,0,0,0,0,0,0,0,0,0,0,1
20150115,0,0,1,0,0,0,0,0,0,0,0,0,1
20150116,0,0,1,0,0,0,0,0,0,0,0,0,1
20150117,0,0,1,1,0,0,0,0,0,0,0,0,1
20150118,0,0,1,0,0,0,0,0,0,0,0,1,1
20150119,0,0,1,1,0,0,0,0,0,0,0,1,1
20150120,0,0,0,0,0,0,0,0,0,0,0,1,1
20150121,0,0,1,0,0,0,0,0,0,0,0,0,0
20150122,0,0,1,0,0,0,0,0,0,0,0,0,0
20150123,0,0,0,0,0,0,0,0,0,0,0,0,0
20150124,0,0,0,0,0,0,0,0,0,0,0,0,0
20150125,0,0,0,0,0,0,0,0,0,0,0,0,0
20150126,0,0,1,0,0,0,0,0,0,0,0,0,0
20150127,0,0,1,1,0,0,0,0,0,0,0,0,0
20150128,0,0,1,1,0,0,0,0,0,0,0,0,0
20150129,0,0,1,0,0,0,0,0,0,0,0,0,0
20150130,0,0,1,1,0,0,0,0,0,0,0,0,0
20150131,0,0,1,1,0,0,0,0,0,0,0,0,0
20150201,0,0,0,0,0,0,0,0,0,0,0,0,0
20150202,0,0,1,1,0,0,0,0,0,0,0,0,0
20150203,0,0,1,1,0,0,0,0,0,0,0,0,0
20150204,0,0,1,1,0,0,0,0,0,0,0,0,0
20150205,0,0,1,1,0,0,0,0,0,0,0,0,0
20150206,0,0,1,0,0,0,0,0,0,0,0,0,1
20150207,0,0,1,1,0,0,0,0,0,0,0,0,1
20150208,1,0,1,1,0,0,0,0,0,0,0,0,1
20150209,0,0,1,1,0,0,0,0,0,0,0,0,1
20150210,0,0,0,0,0,0,0,0,0,0,0,0,1
20150211,0,0,0,0,0,0,0,0,0,0,0,0,1
20150212,0,0,1,0,0,0,0,0,0,0,0,0,1
20150213,0,0,0,0,0,0,0,0,0,0,0,0,0
20150214,0,0,0,0,0,0,0,0,0,0,0,0,0
20150215,0,0,0,0,0,0,0,0,0,0,0,0,0
20150216,0,1,1,0,0,0,0,0,0,0,0,0,0
20150217,0,0,1,1,0,0,0,0,0,0,0,0,0
20150218,0,0,1,1,0,0,0,0,0,0,0,0,0
20150219,0,0,0,0,0,0,0,0,0,0,0,0,0
20150220,0,0,0,0,0,0,0,0,0,0,0,0,0
20150221,0,0,0,0,0,0,0,0,0,0,0,0,0
20150222,0,1,1,1,0,0,0,0,0,0,0,0,0
20150223,0,1,1,0,0,0,0,0,0,0,0,0,0
20150224,0,0,0,0,0,0,0,0,0,0,0,0,0
20150225,0,0,0,0,0,0,0,0,0,0,0,0,0
20150226,0,1,1,0,0,0,0,0,0,0,0,0,0
20150227,0,0,1,1,0,0,0,0,0,0,0,0,0
20150228,0,0,0,0,0,0,0,0,0,0,0,0,0
20150301,0,0,1,1,0,0,0,0,0,0,0,0,0
20150302,0,0,0,0,0,0,0,0,0,0,0,0,0
20150303,0,1,1,0,0,0,0,0,0,0,0,0,0
20150304,0,0,1,1,0,0,0,0,0,0,0,0,0
20150305,0,0,1,1,0,0,0,0,0,0,0,0,0
20150306,0,0,1,0,0,0,0,0,0,0,0,0,0
20150307,0,0,1,0,0,0,0,0,0,0,0,0,0
20150308,0,0,0,0,0,0,0,0,0,0,0,0,0
20150309,0,1,1,1,0,0,0,0,0,0,0,0,0
20150310,0,0,1,1,0,0,0,0,0,0,0,0,1
20150311,0,0,1,1,0,0,0,0,0,0,0,0,1
20150312,0,0,1,0,0,0,0,0,0,0,0,0,1
20150313,0,0,0,0,0,0,0,0,0,0,0,0,1
20150314,0,0,0,0,0,0,0,0,0,0,0,0,1
20150315,0,0,0,0,0,0,0,0,0,0,0,0,1
20150316,0,1,0,0,0,0,0,0,0,0,0,0,1
20150317,0,0,0,0,0,0,0,0,0,0,0,0,1
20150318,0,0,0,0,0,0,0,0,0,0,0,0,1
20150319,0,1,1,0,0,0,0,0,0,0,0,0,1
20150320,0,0,1,0,0,0,0,0,0,0,0,1,1
20150321,0,0,1,0,0,0,0,0,0,0,0,1,1
20150322,0,0,1,1,0,0,0,0,0,0,0,0,0
20150323,0,0,1,1,0,0,0,0,0,0,0,0,0
20150324,0,0,1,1,0,0,0,0,0,0,0,0,0
20150325,0,0,1,1,0,0,0,0,0,0,0,0,1
20150326,0,0,0,0,0,0,0,0,0,0,0,0,1
20150327,0,1,0,0,0,0,0,0,0,0,0,0,1
20150328,0,0,0,0,0,0,0,0,0,0,0,0,1
20150329,0,0,0,0,0,0,0,0,0,0,0,0,1
20150330,0,0,0,0,0,0,0,0,0,0,0,0,1
20150331,0,0,0,0,0,0,0,0,0,0,0,0,1
20150401,0,0,0,0,0,0,0,0,0,0,0,0,1
20150402,0,0,0,0,0,0,0,0,0,0,0,0,1
20150403,0,0,0,0,0,0,0,0,0,0,0,0,1
20150404,0,0,0,0,0,0,0,0,0,0,0,1,1
20150405,0,0,0,0,0,0,0,0,0,0,1,1,1
20150406,0,0,1,0,0,0,0,0,0,0,1,1,1
20150407,0,1,1,1,0,0,0,0,0,0,1,1,1
20150408,0,0,1,1,0,0,0,0,0,0,0,0,0
20150409,0,0,1,1,0,0,0,0,0,0,0,0,0
20150410,0,0,1,1,0,0,0,0,0,0,0,0,0
20150411,0,0,1,0,0,0,0,0,0,0,0,0,0
20150412,0,1,0,0,0,0,0,0,0,0,0,0,0
20150413,0,0,1,0,0,0,0,0,0,0,0,0,0
20150414,0,0,0,0,0,0,0,0,0,0,0,0,0
20150415,0,0,0,0,0,0,0,0,0,0,0,0,0
20150416,0,0,0,0,0,0,0,0,0,0,0,0,0
20150417,0,0,0,0,0,0,0,0,0,0,0,0,0
20150418,0,0,0,0,0,0,0,0,0,0,0,0,0
20150419,0,0,0,0,0,0,0,0,0,0,0,0,0
20150420,0,1,0,0,0,0,0,0,0,0,0,0,0
20150421,0,1,1,0,0,0,0,0,0,0,0,0,0
20150422,0,0,1,0,0,0,0,0,0,0,0,0,0
20150423,0,0,0,0,0,0,0,0,0,0,0,0,0
20150424,0,0,0,0,0,0,0,0,0,0,0,0,0
20150425,0,0,0,0,0,0,0,0,0,0,0,0,0
20150426,0,0,0,0,0,0,0,0,0,0,0,0,0
20150427,0,0,0,0,0,0,0,0,0,0,0,0,0
20150428,0,0,0,0,0,0,0,0,0,0,0,0,0
20150429,0,0,0,0,0,0,0,0,0,0,0,0,0
20150430,0,0,0,0,0,0,0,0,0,0,0,0,0
20150501,0,0,0,0,1,0,0,0,0,0,0,0,0
20150502,0,0,0,0,1,0,0,0,0,0,0,0,1
20150503,0,1,0,0,1,0,0,0,0,0,0,0,1
20150504,0,1,1,0,1,0,0,0,0,0,0,0,1
20150505,0,0,0,0,1,0,0,0,0,0,0,0,1
20150506,0,0,0,0,1,1,0,0,0,0,0,0,1
20150507,0,1,0,0,1,0,0,0,0,0,0,0,1
20150508,0,0,0,0,1,0,0,0,0,0,0,0,1
20150509,0,0,1,0,1,0,0,0,0,0,0,1,1
20150510,0,0,0,0,1,0,1,0,0,1,1,1,1
20150511,0,0,0,0,1,0,1,0,1,1,1,1,1
20150512,0,1,0,0,1,0,1,0,0,0,0,1,1
20150513,0,0,0,0,1,0,0,0,0,0,0,0,1
20150514,0,0,0,0,1,0,0,0,0,0,0,0,1
20150515,0,0,0,0,1,1,0,0,0,0,0,0,1
20150516,0,0,0,0,1,0,0,0,0,0,0,0,1
20150517,0,1,0,0,1,1,0,0,0,0,0,0,1
20150518,0,0,0,0,1,1,0,0,0,0,0,0,1
20150519,0,1,0,0,1,1,0,0,0,0,0,0,1
20150520,0,1,1,0,1,1,0,0,0,0,0,0,1
20150521,0,1,0,0,1,1,0,0,0,0,0,0,1
20150522,0,1,0,0,1,1,0,0,0,0,0,0,1
20150523,0,1,0,0,1,1,0,0,0,0,0,0,1
20150524,0,1,1,0,1,1,0,0,0,0,0,0,1
20150525,0,1,1,0,1,1,0,0,0,0,0,0,0
20150526,0,1,0,0,1,1,0,0,0,0,0,0,0
20150527,0,0,0,0,1,1,0,0,0,0,0,0,0
20150528,0,0,0,0,1,1,0,0,0,0,0,0,0
20150529,0,0,0,0,1,1,0,0,0,0,0,0,0
20150530,0,0,0,0,1,1,0,0,0,0,0,0,0
20150531,0,1,0,0,1,0,0,0,0,0,0,0,0
20150601,0,1,0,0,1,0,0,0,0,0,0,0,0
20150602,0,0,0,0,1,0,0,0,0,0,0,0,0
20150603,0,0,0,0,1,1,0,0,0,0,0,0,0
20150604,0,1,0,0,1,0,0,0,0,0,0,0,0
20150605,0,1,0,0,1,0,0,0,0,0,0,0,0
20150606,0,1,0,0,1,0,0,0,0,0,0,0,0
20150607,0,0,0,0,0,0,0,0,0,0,0,0,0
20150608,0,0,0,0,1,0,0,0,0,0,0,0,0
20150609,0,0,0,0,1,0,0,0,0,0,0,0,0
20150610,0,0,0,0,1,0,0,0,0,0,0,0,0
20150611,0,0,0,0,1,0,0,0,0,0,0,0,0
20150612,0,0,0,0,1,0,0,0,0,0,0,0,0
20150613,0,0,0,0,1,0,0,0,0,0,0,0,0
20150614,0,0,0,0,1,0,0,0,0,0,0,0,0
20150615,0,0,0,0,0,0,0,0,0,0,0,0,0
20150616,0,0,0,0,1,0,0,0,0,0,0,0,0
20150617,0,0,0,0,1,0,0,0,0,0,0,0,0
