,CS,FT,NE,SNE,SWF,SSWF,TYW,TC100,TC200,TC300,TC500,TC1000,NWPTY
20050101,1,1,5,4,0,0,0,0,0,0,0,0,2
20050102,2,1,6,5,0,0,0,0,0,0,0,0,1
20050103,2,1,5,4,0,0,0,0,0,0,0,0,0
20050104,2,1,4,3,0,0,0,0,0,0,0,0,0
20050105,2,1,4,3,0,0,0,0,0,0,0,0,0
20050106,2,1,5,3,0,0,0,0,0,0,0,0,0
20050107,2,0,5,3,0,0,0,0,0,0,0,0,0
20050108,2,0,6,4,0,0,0,0,0,0,0,0,0
20050109,2,0,6,5,0,0,0,0,0,0,0,0,0
20050110,2,0,7,6,0,0,0,0,0,0,0,0,0
20050111,1,0,8,7,0,0,0,0,0,0,0,0,0
20050112,0,0,8,7,0,0,0,0,0,0,0,0,0
20050113,0,0,9,8,0,0,0,0,0,0,0,0,0
20050114,0,1,10,9,0,0,0,0,0,0,0,0,1
20050115,0,1,9,8,0,0,0,0,0,0,0,0,2
20050116,1,1,8,8,0,0,0,0,0,0,0,0,3
20050117,2,1,8,8,0,0,0,0,0,0,0,0,4
20050118,2,1,8,7,0,0,0,0,0,0,0,0,5
20050119,2,1,8,6,0,0,0,0,0,0,0,0,6
20050120,2,1,8,6,0,0,0,0,0,0,0,0,7
20050121,2,1,8,6,0,0,0,0,0,0,0,0,7
20050122,2,1,7,5,0,0,0,0,0,0,0,0,7
20050123,2,2,6,4,0,0,0,0,0,0,0,0,7
20050124,2,1,5,3,0,0,0,0,0,0,0,0,6
20050125,2,1,5,3,0,0,0,0,0,0,0,0,5
20050126,1,1,5,3,0,0,0,0,0,0,0,0,4
20050127,0,1,4,2,0,0,0,0,0,0,0,0,3
20050128,0,2,3,2,0,0,0,0,0,0,0,0,2
20050129,0,2,2,2,0,0,0,0,0,0,0,0,1
20050130,0,3,2,1,0,0,0,0,0,0,0,0,0
20050131,0,3,2,1,0,0,0,0,0,0,0,0,0
20050201,0,3,3,2,0,0,0,0,0,0,0,0,0
20050202,1,2,4,3,0,0,0,0,0,0,0,0,0
20050203,1,2,4,3,0,0,0,0,0,0,0,0,0
20050204,1,2,4,3,0,0,0,0,0,0,0,0,0
20050205,1,3,4,3,0,0,0,0,0,0,0,0,0
20050206,1,3,4,3,0,0,0,0,0,0,0,0,0
20050207,1,2,4,3,0,0,0,0,0,0,0,0,0
20050208,1,3,4,3,0,0,0,0,0,0,0,0,0
20050209,1,3,3,3,0,0,0,0,0,0,0,0,0
20050210,1,3,3,2,0,0,0,0,0,0,0,0,0
20050211,1,4,3,2,0,0,0,0,0,0,0,0,0
20050212,0,5,2,1,0,0,0,0,0,0,0,0,0
20050213,0,6,3,2,0,0,0,0,0,0,0,0,0
20050214,0,6,3,2,0,0,0,0,0,0,0,0,0
20050215,0,5,3,2,0,0,0,0,0,0,0,0,0
20050216,0,5,3,2,0,0,0,0,0,0,0,0,0
20050217,0,5,4,2,0,0,0,0,0,0,0,0,0
20050218,0,5,5,3,0,0,0,0,0,0,0,0,0
20050219,0,5,6,4,0,0,0,0,0,0,0,0,0
20050220,1,5,6,5,0,0,0,0,0,0,0,0,0
20050221,2,4,6,5,0,0,0,0,0,0,0,0,0
20050222,2,3,6,5,0,0,0,0,0,0,0,0,0
20050223,2,2,5,4,0,0,0,0,0,0,0,0,0
20050224,2,2,5,4,0,0,0,0,0,0,0,0,0
20050225,2,2,6,4,0,0,0,0,0,0,0,0,0
20050226,2,3,6,4,0,0,0,0,0,0,0,0,0
20050227,2,4,5,4,0,0,0,0,0,0,0,0,0
20050228,2,3,5,4,0,0,0,0,0,0,0,0,0
20050301,2,3,5,4,0,0,0,0,0,0,0,0,0
20050302,1,3,4,3,0,0,0,0,0,0,0,0,0
20050303,0,4,4,2,0,0,0,0,0,0,0,0,0
20050304,0,5,5,3,0,0,0,0,0,0,0,0,0
20050305,1,5,6,3,0,0,0,0,0,0,0,0,0
20050306,2,5,6,3,0,0,0,0,0,0,0,0,0
20050307,3,5,5,3,0,0,0,0,0,0,0,0,0
20050308,3,4,5,3,0,0,0,0,0,0,0,0,0
20050309,3,3,5,3,0,0,0,0,0,0,0,0,0
20050310,3,3,4,2,0,0,0,0,0,0,0,0,0
20050311,3,2,3,1,0,0,0,0,0,0,0,0,0
20050312,3,3,4,2,0,0,0,0,0,0,0,0,0
20050313,4,3,4,3,0,0,0,0,0,0,0,0,1
20050314,5,2,4,2,0,0,0,0,0,0,0,0,2
20050315,4,2,3,2,0,0,0,0,0,0,0,0,3
20050316,3,2,3,2,0,0,0,0,0,0,0,0,4
20050317,2,2,3,2,0,0,0,0,0,0,0,0,5
20050318,2,3,4,2,0,0,0,0,0,0,0,0,6
20050319,2,3,5,3,0,0,0,0,0,0,0,0,7
20050320,2,3,5,3,0,0,0,0,0,0,0,0,8
20050321,2,3,5,3,0,0,0,0,0,0,0,0,8
20050322,2,2,4,2,0,0,0,0,0,0,0,0,8
20050323,1,1,3,1,0,0,0,0,0,0,0,0,7
20050324,0,2,3,2,0,0,0,0,0,0,0,0,6
20050325,0,2,4,3,0,0,0,0,0,0,0,0,5
20050326,0,2,4,3,0,0,0,0,0,0,0,0,4
20050327,0,2,4,3,0,0,0,0,0,0,0,0,3
20050328,0,1,3,3,0,0,0,0,0,0,0,0,2
20050329,0,2,3,2,0,0,0,0,0,0,0,0,1
20050330,0,3,4,3,0,0,0,0,0,0,0,0,0
20050331,0,4,4,3,0,0,0,0,0,0,0,0,0
20050401,0,5,4,3,0,0,0,0,0,0,0,0,0
20050402,0,6,4,3,0,0,0,0,0,0,0,0,0
20050403,0,6,3,2,0,0,0,0,0,0,0,0,0
20050404,0,6,3,2,0,0,0,0,0,0,0,0,0
20050405,0,6,3,2,0,0,0,0,0,0,0,0,0
20050406,0,6,3,2,0,0,0,0,0,0,0,0,0
20050407,0,6,3,2,0,0,0,0,0,0,0,0,0
20050408,0,5,2,2,0,0,0,0,0,0,0,0,0
20050409,0,4,1,1,0,0,0,0,0,0,0,0,0
20050410,0,3,1,1,0,0,0,0,0,0,0,0,0
20050411,0,3,1,1,0,0,0,0,0,0,0,0,0
20050412,0,3,1,1,0,0,0,0,0,0,0,0,0
